! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $,,,
! Revision 1.4  2012-06-26 16:17:18-07  lli,,,,
! CHanged eror checker names from Tx to Rx,,,,
!,,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
30.1559.5:3,tx_amp,RW,000=000;001=1070mVdiff-pkpk; 010=1140mVdiff-pkpk ; 011=1200mVdiff-pkpk; 100=1260mVdiff-pkpk; 101=1310mVdiff-pkpk; 110=1350mVdiff-pkpk; 111=1400mVdiff-pkpk ,Transmitter Amplitude main setting
30.1559.2:0,pre_ctl,RW,000=000;001=001;010=010;011=011;100=100;101=101;110=110;111=111,Precursor coefficient: C-1 = pre_ctl/27. The maximum valid value for this field is 6.
R30.1560,CAUI Output Lane 8 De-Emphasis,16'h3318,,
30.1560.15:12,pst_ctl,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Post-cursor coefficient: C+1 = pst_ctl/27. The maximum valid value for this field is 9.
30.1560.11,half_sw,RW,0=full swing; 1=half swing;,Transmitter Amplitude half-swing setting
30.1560.10:6,cur_ctl,RW,00000=00000;00001=00001;00010=00010;00011=00011;00100=00100;00101=00101;00110=00110;00111=00111;01000=01000;01001=01001;01010=01010;01011=01011;01100=01100;01101=01101;01110=01110;01111=01111;10000=10000;10001=10001;10010=10010;10011=10011;10100=10100;10101=10101;10110=10110;10111=10111;11000=11000;11001=11001;11010=11010;11011=11011;11100=11100;11101=11101;11110=11110;11111=11111,Cursor coefficient: C0 = cur_ctl/27. The maximum valid value for this field is 13.
30.1560.5:3,tx_amp,RW,000=000;001=1070mVdiff-pkpk; 010=1140mVdiff-pkpk ; 011=1200mVdiff-pkpk; 100=1260mVdiff-pkpk; 101=1310mVdiff-pkpk; 110=1350mVdiff-pkpk; 111=1400mVdiff-pkpk ,Transmitter Amplitude main setting
30.1560.2:0,pre_ctl,RW,000=000;001=001;010=010;011=011;100=100;101=101;110=110;111=111,Precursor coefficient: C-1 = pre_ctl/27. The maximum valid value for this field is 6.
R30.1561,CAUI Output Lane 9 De-Emphasis,16'h3318,,
30.1561.15:12,pst_ctl,RW,0000=0000;0001=0001;0010=0010;0011=0011;0100=0100;0101=0101;0110=0110;0111=0111;1000=1000;1001=1001;1010=1010;1011=1011;1100=1100;1101=1101;1110=1110;1111=1111,Post-cursor coefficient: C+1 = pst_ctl/27. The maximum valid value for this field is 9.
30.1561.11,half_sw,RW,0=full swing; 1=half swing;,Transmitter Amplitude half-swing setting
30.1561.10:6,cur_ctl,RW,00000=00000;00001=00001;00010=00010;00011=00011;00100=00100;00101=00101;00110=00110;00111=00111;01000=01000;01001=01001;01010=01010;01011=01011;01100=01100;01101=01101;01110=01110;01111=01111;10000=10000;10001=10001;10010=10010;10011=10011;10100=10100;10101=10101;10110=10110;10111=10111;11000=11000;11001=11001;11010=11010;11011=11011;11100=11100;11101=11101;11110=11110;11111=11111,Cursor coefficient: C0 = cur_ctl/27. The maximum valid value for this field is 13.
30.1561.5:3,tx_amp,RW,000=000;001=1070mVdiff-pkpk; 010=1140mVdiff-pkpk ; 011=1200mVdiff-pkpk; 100=1260mVdiff-pkpk; 101=1310mVdiff-pkpk; 110=1350mVdiff-pkpk; 111=1400mVdiff-pkpk ,Transmitter Amplitude main setting
30.1561.2:0,pre_ctl,RW,000=000;001=001;010=010;011=011;100=100;101=101;110=110;111=111,Precursor coefficient: C-1 = pre_ctl/27. The maximum valid value for this field is 6.
