! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/case_1285613542/#alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v 1.1 2012-06-20 11:26:14-07 case Exp $,,,
"! From: iphy/sos/repository/iphy_A.rep/TEMP/rbemra_1274230893/validation#python#iCDR100_internal_MDIO_1v1_flat.csv, v 1.6 2011-07-29 10:44:59-07 rbemra Exp $ ! Revision 1.6  2011-07-29 10:44:59-07  rbemra",,,,
! $Log: #alidation#iphy-gui#dataconfig#iCDR100_B0_internal_MDIO.csv,v $
! Revision 1.1  2012-06-20 11:26:14-07  case
! Inital release -- not checked
!,,,
! Revision 1.4  2012-04-12 14:24:40-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:58-07  case,,,,
! defined CYA bit function correctly this time!,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:20-07  case,,,,
! defined CYA bit function,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:15-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.4  2011-12-01 14:23:17-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.3  2011-09-29 13:32:42-07  case,,,,
! Changed 30.0.7 to reserved, 30.0.12 to MDIO init per Andre,,,
!,,,,
! Revision 1.2  2011-08-23 12:09:19-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.6  2011-07-29 10:44:59-07  rbemra,,,,
! Same as rev4, fixed header/SOS_kwds,,,
!,,,,
! Revision 1.4  2011-07-29 09:24:11-07  case,,,,
! Corrected Rx and Tx PLL Voltage regulator descriptions,,,,
! Revision 1.3  2011-07-28 15:06:11-07  rbemra,,,,
! Several updates (iPHY team) for iCDR100 first samples,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# RegAddr,RegName,DefVal/Mask,ValueDes,Description
30.1209.15:14,Reserved,R,,
30.1209.13:8,Eq offset state,RW,,Actual value of equalizer offset : either from auto-zeroing or by over-ride.
30.1209.7:2,Eq offset,RW,,Equalizer offset over-ride value to be applied
30.1209.1,Reserved,R,,
30.1209.0,Overwrite Eq offsets,RW,,Assert this bit = '1' to enable overwriting of the Rx Equalizer offset value. When this bit is asserted then offset will be overridden with the values in the Eq Offset field.
R30.448,25G Rx Lane 0 Amux control,16'h1000,,
30.448.15:14,Reserved,R,,
30.448.13:12,Eq offset cor method,RW,,Equalizer offset correction method
30.448.11:9,Reserved,R,,
30.448.8,Speed up timers,RW,, Assert this bit = 1 to enable simulation time speed up features
30.448.7,Reserved,R,,
30.448.6:4,Rx PLL amux select,RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.448.3:0,Rx amux select,RW,0000=tristate;  0101=vreg_clk; 0110=polydep5; 0111=polyindep7;1000=vreg_eq; 1001=vddr; 1010=ringosc; 1011=vss,A 4 way binary coded field which will be decoded inside RXD to produce a 1 hot 16 way AMUX observe select.
R30.704,25G Rx Lane 1 Amux control,16'h1000,,
30.704.15:14,Reserved,R,,
30.704.13:12,Eq offset cor method,RW,,Equalizer offset correction method
30.704.11:9,Reserved,R,,
30.704.8,Speed up timers,RW,, Assert this bit = 1 to enable simulation time speed up features
30.704.7,Reserved,R,,
30.704.6:4,Rx PLL amux select,RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.704.3:0,Rx amux select,RW,0000=tristate;  0101=vreg_clk; 0110=polydep5; 0111=polyindep7;1000=vreg_eq; 1001=vddr; 1010=ringosc; 1011=vss,A 4 way binary coded field which will be decoded inside RXD to produce a 1 hot 16 way AMUX observe select.
R30.960,25G Rx Lane 2 Amux control,16'h1000,,
30.960.15:14,Reserved,R,,
30.960.13:12,Eq offset cor method,RW,,Equalizer offset correction method
30.960.11:9,Reserved,R,,
30.960.8,Speed up timers,RW,, Assert this bit = 1 to enable simulation time speed up features
30.960.7,Reserved,R,,
30.960.6:4,Rx PLL amux select,RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.960.3:0,Rx amux select,RW,0000=tristate;  0101=vreg_clk; 0110=polydep5; 0111=polyindep7;1000=vreg_eq; 1001=vddr; 1010=ringosc; 1011=vss,A 4 way binary coded field which will be decoded inside RXD to produce a 1 hot 16 way AMUX observe select.
R30.1216,25G Rx Lane 3 Amux control,16'h1000,,
30.1216.15:14,Reserved,R,,
30.1216.13:12,Eq offset cor method,RW,,Equalizer offset correction method
30.1216.11:9,Reserved,R,,
30.1216.8,Speed up timers,RW,, Assert this bit = 1 to enable simulation time speed up features
30.1216.7,Reserved,R,,
30.1216.6:4,Rx PLL amux select,RW,000=tristate; 001=vctl_out; 010=ibg_40u_polyind; 011=ibg_40u_polydep; 100=vreg_pll; 101=vddr;110=vss; 111=vss,
30.1216.3:0,Rx amux select,RW,0000=tristate;  0101=vreg_clk; 0110=polydep5; 0111=polyindep7;1000=vreg_eq; 1001=vddr; 1010=ringosc; 1011=vss,A 4 way binary coded field which will be decoded inside RXD to produce a 1 hot 16 way AMUX observe select.
R30.456,25G Rx Lane 0 Vreg control,16'h0777,,
30.456.15:12,Reserved,R,,
30.456.11:8,Vreg_Rx_PLL[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of Central Vreg control. LSB is set by Lane spare Rx fuse register bit 0 (adds 0.01V) to value set here.
30.456.7:4,Vreg2_eq[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane spare Rx fuse register bit 5 (adds 0.01V) to value set here.
30.456.3:0,Vreg1_clk_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg1 control. LSB is set by Lane spare Rx fuse register bit 4 (adds 0.01V) to value set here.
R30.712,25G Rx Lane 1 Vreg control,16'h0777,,
30.712.15:12,Reserved,R,,
30.712.11:8,not_used,RW,,
30.712.7:4,Vreg2_eq[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane spare Rx fuse register bit 5 (adds 0.01V) to value set here.
30.712.3:0,Vreg1_clk_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg1 control. LSB is set by Lane spare Rx fuse register bit 4 (adds 0.01V) to value set here.
R30.968,25G Rx Lane 2 Vreg control,16'h0777,,
30.968.15:12,Reserved,R,,
30.968.11:8,not_used,RW,,
30.968.7:4,Vreg2_eq[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane spare Rx fuse register bit 5 (adds 0.01V) to value set here.
30.968.3:0,Vreg1_clk_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg1 control. LSB is set by Lane spare Rx fuse register bit 4 (adds 0.01V) to value set here.
R30.1224,25G Rx Lane 3 Vreg control,16'h0777,,
30.1224.15:12,Reserved,R,,
30.1224.11:8,not_used,RW,,
30.1224.7:4,Vreg2_eq[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg2 control. LSB is set by Lane spare Rx fuse register bit 5 (adds 0.01V) to value set here.
30.1224.3:0,Vreg1_clk_osc[4:1],RW,0000=0.82V; 0001=0.84V; 0010=0.86V; 0011=0.88V; 0100=0.90V; 0101=0.92V; 0110=0.94V; 0111=0.96V; 1000=0.98V; 1001=1.00V; 1010=1.02V; 1011=1.04V; 1100=1.06V; 1101=1.08V; 1110=1.10V; 1111=1.12V;,MSBs of  Vreg1 control. LSB is set by Lane spare Rx fuse register bit 4 (adds 0.01V) to value set here.
R30.464,25G Rx Lane 0 CYA register,16'hFF00,,
30.464.15:8,Unimplemented CYA Status,R,,Unimplemented
30.464.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.464.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.464.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.720,25G Rx Lane 0 CYA register,16'hFF00,,
30.720.15:8,Unimplemented CYA Status,R,,Unimplemented
30.720.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.720.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.720.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.976,25G Rx Lane 0 CYA register,16'hFF00,,
30.976.15:8,Unimplemented CYA Status,R,,Unimplemented
30.976.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.976.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.976.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.1232,25G Rx Lane 0 CYA register,16'hFF00,,
30.1232.15:8,Unimplemented CYA Status,R,,Unimplemented
30.1232.7:5,Unimplemented CYA Control,RW,,Unimplemented
30.1232.4,Rx Bandgap Bypass,RW,0=BG;1=R-divider,
30.1232.3:0,Unimplemented CYA Control,RW,,Unimplemented
R30.465,25G Rx Lane 0 Spare Fuse,16'h0000,,
30.465.15:8,Reserved,R,,
30.465.7:6,Spare RX Fuse register bits,RW,,
30.465.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.465.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.465.3:1,Spare RX GCK fuse registers,RW,,
30.465.0,Vreg_Rx_PLL[0],RW,0=+0.00V;1=+0.01V,LSB of Central Vreg control. When set adds 0.01V to regulator output.
R30.721,25G Rx Lane 1 Spare Fuse,16'h0000,,
30.721.15:8,Reserved,R,,
30.721.7:6,Spare RX Fuse register bits,RW,,
30.721.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.721.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.721.3:0,Spare RX GCK fuse registers,RW,,
R30.977,25G Rx Lane 2 Spare Fuse,16'h0000,,
30.977.15:8,Reserved,R,,
30.977.7:6,Spare RX Fuse register bits,RW,,
30.977.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.977.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.977.3:0,Spare RX GCK fuse registers,RW,,
R30.1233,25G Rx Lane 3 Spare Fuse,16'h0000,,
30.1233.15:8,Reserved,R,,
30.1233.7:6,Spare RX Fuse register bits,RW,,
30.1233.5,Vreg2_eq[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg2 control. When set adds 0.01V to regulator output.
30.1233.4,Vreg1_clk_osc[0],RW,0=+0.00V;1=+0.01V,LSB of Vreg1 control. When set adds 0.01V to regulator output.
30.1233.3:0,Spare RX GCK fuse registers,RW,,
R30.1280,eFuse Control,16'h2000,,
30.1280.15,program,RW,,"Toggling this bit from a zero to a one state causes the eFuse register bit addressed by 30.1280.9:0 to be programmed to a one value. During programming 'done' (30.1280.13) will be de-asserted. Programming will not occur if the efuse is in its power-down state (30.1281.15=0), or if 'done' (30.1280.13) is not asserted."
30.1280.14,fetch,RW,,"Toggling this bit from a zero to a one state causes the eFuse contents to be fetched and loaded into registers 30.1408 to 30.1420. Fetching will not occur if the efuse is in its power-down state (30.1281.15=0), or if 'done' (30.1280.13) is not asserted. Registers 30.1409 to 30.1440 will not be fetched if the content of the eFuse byte 0 (30.1408) is zero - ie if the eFuse has not been programmed."
30.1280.13,done,R,,eFuse actions complete. 0=eFuse program or fetch operations are in progress.
30.1280.12:11,Reserved,R,,
30.1280.10:8, bit address,RW,,This field indicates which eFuse bit (of a byte) to set to a one in a program operation.
30.1280.7,Reserved,R,,
30.1280.6:0,byte address,RW,,This field indicates which eFuse byte to program in a program operation.
R30.1281,eFuse Power-up,16'h0000,,
30.1281.15,Power-up,RW,0=powerdn;1=power up,This bit controls the power state of the eFuse array after reset : 0 (default) = array is powered down; 1 = array is powered up; This bit must be set to a one in order to program or fetch the contents of the eFuse array.
30.1281.14:00,Reserved,R,,
R30.1408,eFuse Control Byte,16'h0000,,
30.1408.15:8,Reserved,R,,"Read as zero, writes ignored"
30.1408.7:0,eFuse Control Byte,R,,"Contents of first fetched eFuse byte. If this byte is fetched as zero, no other bytes will be fetched (eFuse is unprogrammed)"
R30.1409,s25t0_trim[7:0],16'h0000,,
30.1409.15:8,Reserved,R,,
30.1409.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1410,s25t0_trim[15:8],16'h0000,,
30.1410.15:8,Reserved,R,,
30.1410.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1411,s25t0_trim[23:16],16'h0000,,
30.1411.15:8,Reserved,R,,
30.1411.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1412,s25r0_trim[7:0],16'h0000,,
30.1412.15:8,Reserved,R,,
30.1412.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1413,s25r0_trim[15:8],16'h0000,,
30.1413.15:8,Reserved,R,,
30.1413.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1414,s25r0_trim[23:16],16'h0000,,
30.1414.15:8,Reserved,R,,
30.1414.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1415,s25r0_trim[31:24],16'h0000,,
30.1415.15:8,Reserved,R,,
30.1415.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1416,misc_trim[7:0],16'h0000,,
30.1416.15:8,Reserved,R,,
30.1416.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1417,s25t1_trim[7:0],16'h0000,,
30.1417.15:8,Reserved,R,,
30.1417.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1418,s25t1_trim[15:8],16'h0000,,
30.1418.15:8,Reserved,R,,
30.1418.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1419,s25t1_trim[23:16],16'h0000,,
30.1419.15:8,Reserved,R,,
30.1419.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1420,s25r1_trim[7:0],16'h0000,,
30.1420.15:8,Reserved,R,,
30.1420.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1421,s25r1_trim[15:8],16'h0000,,
30.1421.15:8,Reserved,R,,
30.1421.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1422,s25r1_trim[23:16],16'h0000,,
30.1422.15:8,Reserved,R,,
30.1422.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1423,s25r1_trim[31:24],16'h0000,,
30.1423.15:8,Reserved,R,,
30.1423.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1424,misc_trim[15:8],16'h0000,,
30.1424.15:8,Reserved,R,,
30.1424.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1425,s25t2_trim[7:0],16'h0000,,
30.1425.15:8,Reserved,R,,
30.1425.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1426,s25t2_trim[15:8],16'h0000,,
30.1426.15:8,Reserved,R,,
30.1426.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1427,s25t2_trim[23:16],16'h0000,,
30.1427.15:8,Reserved,R,,
30.1427.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1428,s25r2_trim[7:0],16'h0000,,
30.1428.15:8,Reserved,R,,
30.1428.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1429,s25r2_trim[15:8],16'h0000,,
30.1429.15:8,Reserved,R,,
30.1429.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1430,s25r2_trim[23:16],16'h0000,,
30.1430.15:8,Reserved,R,,
30.1430.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1431,s25r2_trim[31:24],16'h0000,,
30.1431.15:8,Reserved,R,,
30.1431.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1432,misc_trim[23:16],16'h0000,,
30.1432.15:8,Reserved,R,,
30.1432.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1433,s25t3_trim[7:0],16'h0000,,
30.1433.15:8,Reserved,R,,
30.1433.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1434,s25t3_trim[15:8],16'h0000,,
30.1434.15:8,Reserved,R,,
30.1434.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1435,s25t3_trim[23:16],16'h0000,,
30.1435.15:8,Reserved,R,,
30.1435.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1436,s25r3_trim[7:0],16'h0000,,
30.1436.15:8,Reserved,R,,
30.1436.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1437,s25r3_trim[15:8],16'h0000,,
30.1437.15:8,Reserved,R,,
30.1437.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1438,s25r3_trim[23:16],16'h0000,,
30.1438.15:8,Reserved,R,,
30.1438.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1439,s25r3_trim[31:24],16'h0000,,
30.1439.15:8,Reserved,R,,
30.1439.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
R30.1440,misc_trim[31:24],16'h0000,,
30.1440.15:8,Reserved,R,,
30.1440.7:0,eFuse Byte,R,,If the eFuse control byte is fetched with a non-zero value this byte will be loaded from eFuse. Otherwise it will remain set to its default value.
