! $Header: /projects/wlv/iphy/sos/repository/iphy_A.rep/TEMP/lli_1316463935/#alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v 1.4 2012-06-26 16:17:18-07 lli Exp $,,,
! $Log: #alidation#iphy-gui#dataconfig#iPHY100_B0_internal_MDIO.csv,v $
! Revision 1.4  2012-06-26 16:17:18-07  lli
! CHanged eror checker names from Tx to Rx
!,,,
! Revision 1.3  2012-06-25 10:29:55-07  lli,,,,
! Updated to match B0 Chip Behaviour,,,,
!,,,,
! Revision 1.2  2012-06-20 13:46:58-07  case,,,,
! Updated MDIo init and Error Inject to RW from W,,,,
!,,,,
! Revision 1.1  2012-06-20 11:26:13-07  case,,,,
! Inital release -- not checked,,,,
!,,,,
! Revision 1.4  2012-04-12 14:24:43-07  case,,,,
! Fixed SA offset control register description, defined registers 30.256.2:1 as reserved,,,
!,,,,
! Revision 1.3  2012-03-29 09:59:54-07  case,,,,
! defined CYA bit function correctly this time,,,,
!,,,,
! Revision 1.2  2012-03-27 16:40:19-07  case,,,,
! defined CYA bit functio,,,,
!,,,,
! Revision 1.1  2012-03-16 10:06:14-07  case,,,,
! updated and synchronized,,,,
!,,,,
! Revision 1.7  2011-12-01 14:23:13-08  case,,,,
! Added CYA register space,,,,
!,,,,
! Revision 1.6  2011-11-23 09:00:28-08  rward,,,,
! expanded trim bits,,,,
!,,,,
! Revision 1.3  2011-08-23 12:09:16-07  rbemra,,,,
! Corrected 11:8 = 4'b0101 of Rx 25G Misc Trim (per J. Sanders),,,,
!,,,,
! Revision 1.2  2011-08-18 09:16:48-07  rbemra,,,,
! Corrected 30.1540.0 <- 30.1540.1,,,,
!,,,,
! Revision 1.1  2011-08-08 10:48:07-07  rbemra,,,,
! First iCDR100, iPHY100 release version,,,
!,,,,
! Revision 1.4  2011-08-01 15:52:23-07  rbemra,,,,
"! Removed extra R30.529 register; this csv ""Saved As"" from xlsx master of same base name",,,,
!,,,,
! Revision 1.3  2011-07-29 18:52:16-07  rbemra,,,,
! Corrections by iPHY team from CDR100 tests upto screening,,,,
!,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
!,,,,
! Revision 2.0  2012-05-15 Andre,,,,
! B0 Updates,,,,
!,,,,
! ----------------------------------------------------------------------------------------------,,,,
# Addr,Name,Def/mask,SubDes,Des
R8.0,PMA Control 1 ,16'h204C,,
30.20.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.20.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.20.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.21,10G Lane 1 Pattern Control,16'h0000,,
30.21.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.21.14:13,Reserved,R,,
30.21.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.21.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.21.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.21.7:6,Reserved,R,,
30.21.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.21.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.21.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.21.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.22,10G Lane 2 Pattern Control,16'h0000,,
30.22.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.22.14:13,Reserved,R,,
30.22.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.22.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.22.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.22.7:6,Reserved,R,,
30.22.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.22.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.22.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.22.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.23,10G Lane 3 Pattern Control,16'h0000,,
30.23.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.23.14:13,Reserved,R,,
30.23.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.23.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.23.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.23.7:6,Reserved,R,,
30.23.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.23.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.23.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.23.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.24,10G Lane 4 Pattern Control,16'h0000,,
30.24.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.24.14:13,Reserved,R,,
30.24.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.24.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.24.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.24.7:6,Reserved,R,,
30.24.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.24.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.24.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.24.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.25,10G Lane 5 Pattern Control,16'h0000,,
30.25.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.25.14:13,Reserved,R,,
30.25.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.25.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.25.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.25.7:6,Reserved,R,,
30.25.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.25.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.25.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.25.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.26,10G Lane 6 Pattern Control,16'h0000,,
30.26.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.26.14:13,Reserved,R,,
30.26.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.26.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.26.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.26.7:6,Reserved,R,,
30.26.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.26.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.26.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.26.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.27,10G Lane 7 Pattern Control,16'h0000,,
30.27.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.27.14:13,Reserved,R,,
30.27.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.27.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.27.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.27.7:6,Reserved,R,,
30.27.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.27.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.27.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.27.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.28,10G Lane 8 Pattern Control,16'h0000,,
30.28.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.28.14:13,Reserved,R,,
30.28.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.28.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.28.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.28.7:6,Reserved,R,,
30.28.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.28.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.28.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.28.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.29,10G Lane 9 Pattern Control,16'h0000,,
30.29.15,prbs_lock,R,,State of PRBS verifier state machine: 1=Verifier is locked;  0=Verifier is not pattern locked; Note SM must be locked in order to count pattern errors
30.29.14:13,Reserved,R,,
30.29.12,pat_ver_en,RW,0=disable; 1=enable,Enable Receiver Pattern verification
30.29.11,prbs_ver_inv,RW,0=true; 1=inverse,Invert Receiver PRBS pattern
30.29.10:8,pat_ver_sel,RW, 000 = PRBS31; 001 = PRBS9; 010 = reserved; 011 = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select Receiver pattern verifier type : 000 = PRBS31; 001 = PRBS9; 01X = reserved; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
30.29.7:6,Reserved,R,,
30.29.5,error_insert,W,,Writing a one to this bit causes the contents of the custom pattern generation register to be XOR'ed with the transmit data for the lane for one cycle only. This bit must be cleared and set again in order to insert another error. Error insertion is not gated by pattern generator enable.
30.29.4,pat_gen_en,RW,0=disable; 1=enable,Enable Transmitter Pattern generation
30.29.3,prbs_gen_inv,RW,0=true; 1=inverse,Invert Transmitter PRBS pattern
30.29.2:0,pat_gen_sel,RW,000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7,Select transmit pattern generation type:  000 = PRBS31; 001 = PRBS9; 010 = 8:8 Square wave pattern; 011 = Pattern generation register bits [31:0]; 100 = PRBS31; 101 = PRBS23; 110 = PRBS15; 111 = PRBS7
R30.30,Custom Pattern Lo ,16'h0000,,
30.30.15:0,Pattern 15:0,RW,,Custom transmit Pattern bits 15:0
R30.31,Custom Pattern Mid,16'h0000,,
30.31.15:0,Pattern 32:16,RW,,Custom transmit Pattern bits 31:16
R30.32,Custom Pattern Hi,16'h0000,,
30.32.15:8,Reserved,R,,
30.32.7:0,Pattern 39:32,RW,,Custom transmit Pattern bits 39:32
R30.33,LOL Status Register,16'hFFFF,,
30.33.15,Latched LOL  3,RC,,Latched Loss of Lock Lane 3: Latched high 'or' of 30.33.11.  Reading this bit clears bit if set.
30.33.14,Latched LOL  2,RC,,Latched Loss of Lock Lane 2: Latched high 'or' of 30.33.10.  Reading this bit clears bit if set.
30.33.13,Latched LOL  1,RC,,Latched Loss of Lock Lane 1: Latched high 'or' of 30.33.9.  Reading this bit clears bit if set.
30.33.12,Latched LOL  0,RC,,Latched Loss of Lock Lane 0: Latched high 'or' of 30.33.8.  Reading this bit clears bit if set.
30.33.11,LOL  Status 3,R,,Loss of Lock Lane 3: Logical 'or' of 30.33.7 and 30.33.3. 
30.33.10,LOL  Status 2,R,,Loss of Lock Lane 2: Logical 'or' of 30.33.6 and 30.33.2. 
30.33.9,LOL  Status 1,R,,Loss of Lock Lane 1: Logical 'or' of 30.33.5 and 30.33.1. 
30.33.8,LOL  Status 0,R,,Loss of Lock Lane 0: Logical 'or' of 30.33.4 and 30.33.0. 
30.33.7,no_prot_lock_3,R,,Protocol Lock SM on 25G lane 3 is not locked. The protocol type is determined by 30.0.14 (0=802.3ba;1=OTU4) : Locked after 64 consecutive valid protocol block headers; Un-locked  after 16 bad in a 64 header window;
30.33.6,no_prot_lock_2,R,,Protocol Lock SM on 25G lane 2 is not locked. The protocol type is determined by 30.0.14 (0=802.3ba;1=OTU4) : Locked after 64 consecutive valid protocol block headers; Un-locked  after 16 bad in a 64 header window;
30.33.5,no_prot_lock_1,R,,Protocol Lock SM on 25G lane 1 is not locked. The protocol type is determined by 30.0.14 (0=802.3ba;1=OTU4) : Locked after 64 consecutive valid protocol block headers; Un-locked  after 16 bad in a 64 header window;
30.33.4,no_prot_lock_0,R,,Protocol Lock SM on 25G lane 0 is not locked. The protocol type is determined by 30.0.14 (0=802.3ba;1=OTU4) : Locked after 64 consecutive valid protocol block headers; Un-locked  after 16 bad in a 64 header window;
30.33.3,no_prbs_lock_3,R,,PRBS verifier is not locked on 25G lane 3
30.33.2,no_prbs_lock_2,R,,PRBS verifier is not locked on 25G lane 2
30.33.1,no_prbs_lock_1,R,,PRBS verifier is not locked on 25G lane 1
30.33.0,no_prbs_lock_0,R,,PRBS verifier is not locked on 25G lane 0
R30.37,RX FIFO Control &  Status ,16'h0000,,
30.37.15,FIFO Reset,RW,0=disable; 1=enable,"If set to a one will cause all receive FIFO's to be reset.  This will cause the receive over and under run flags to be cleared, but not the receive per lane 'FIFO_error' flags. Clearing the bit will un-reset the receive FIFOs."
30.37.14,Auto Reset,RW,0=disable; 1=enable,"If set to a one assertion of any of the over or under-run flags will cause all receive FIFO's to be reset.  This will cause the receive over and under run flags to be cleared, but not the receive 'FIFO_error' flags (these flags can therefore be used to detect an auto-reset has occurred)."
30.37.13:12,Reserved,R,,
30.37.11,Rx FIFO_error 3,RC,,"Rx FIFO 3 error flag:  This flag is set to a one if either the Lane 3 Rx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset."
30.37.10,Rx FIFO _error 2,RC,,"Rx FIFO 2 error flag:  This flag is set to a one if either the Lane 2 Rx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset."
30.37.9,Rx FIFO _error 1,RC,,"Rx FIFO 1 error flag:  This flag is set to a one if either the Lane 1 Rx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset."
30.37.8,Rx FIFO _error 0,RC,,"Rx FIFO 0 error flag:  This flag is set to a one if either the Lane 0 Rx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset."
30.37.7,Rx fifo_orun_3,RC,,"Rx FIFO 3 over-run flag:  Set to one if a FIFO over-write is detected. Cleared by reading this bit, or by a FIFO reset."
30.37.6,Rx fifo_orun_2,RC,,"Rx FIFO 2 over-run flag:  Set to one if a FIFO over-write is detected. Cleared by reading this bit, or by a FIFO reset."
30.37.5,Rx fifo_orun_1,RC,,"Rx FIFO 1 over-run flag:  Set to one if a FIFO over-write is detected. Cleared by reading this bit, or by a FIFO reset."
30.37.4,Rx fifo_orun_0,RC,,"Rx FIFO 0 over-run flag:  Set to one if a FIFO over-write is detected. Cleared by reading this bit, or by a FIFO reset."
30.37.3,Rx fifo_urun_3,RC,,"Rx FIFO 3 under-run flag:  Set to one if a FIFO over-read is detected. Cleared by reading this bit11, or by a FIFO reset."
30.37.2,Rx fifo_urun_2,RC,,"Rx FIFO 2 under-run flag:  Set to one if a FIFO over-read is detected. Cleared by reading this bit11, or by a FIFO reset."
30.37.1,Rx fifo_urun_1,RC,,"Rx FIFO 1 under-run flag:  Set to one if a FIFO over-read is detected. Cleared by reading this bit11, or by a FIFO reset."
30.37.0,Rx fifo_urun_0,RC,,"Rx FIFO 0 under-run flag:  Set to one if a FIFO over-read is detected. Cleared by reading this bit11, or by a FIFO reset."
R30.38,TX FIFO Control &  Status ,16'h4F00,,
30.38.15,tx_fifo_reset,RW,0=disable; 1=enable,"If set to a one will cause all transmit FIFO's to be reset.  This will cause the transmit over and under run flags to be cleared, but not the per lane 'Tx FIFO _error' flags. Clearing the bit will un-reset the transmit FIFOs."
30.38.14,auto_reset,RW,0=disable; 1=enable,"If set to a one assertion of any of the over or under-run flags will cause all transmit FIFO's to be reset.  This will cause the transmit over and under run flags to be cleared, but not the transmit 'Tx FIFO _error' flags (these flags can therefore be used to detect an auto-reset has occurred)."
30.38.13:12,Reserved,R,,
30.38.11,Tx FIFO_error 3,RC,,"Tx FIFO 3 error flag: This flag is set to a one if either the Lane 3 Tx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset ."
30.38.10,Tx FIFO _error 2,RC,,"Tx FIFO 2 error flag: This flag is set to a one if either the Lane 2 Tx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset ."
30.38.9,Tx FIFO _error 1,RC,,"Tx FIFO 1 error flag: This flag is set to a one if either the Lane 1 Tx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset ."
30.38.8,Tx FIFO _error 0,RC,,"Tx FIFO 0 error flag: This flag is set to a one if either the Lane 0 Tx FIFO over, or under run flag is set.  It is cleared by reading the bit. This flag is NOT cleared by a FIFO reset ."
